arch,requests,size,clients,delay,sort time,query time,client time
6,20,1000,5,0,7.420000,7.860000,194.800000
6,20,1500,5,0,17.400000,17.930000,447.800000
6,20,2000,5,0,39.180000,40.310000,995.600000
6,20,2500,5,0,69.020000,70.020000,1744.000000
6,20,3000,5,0,96.310000,97.350000,2425.200000
6,20,3500,5,0,105.740000,106.620000,2648.200000
6,20,4000,5,0,139.230000,139.950000,3482.200000
6,20,4500,5,0,190.730000,191.790000,4711.800000
6,20,5000,5,0,218.980000,219.930000,5470.600000
